Taxon	0328_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0403_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0423_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0531_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0619_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0705_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0709_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1001_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1004_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1028_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1123_rrna.silva-bac-16s-database-id85.fasta.class.tsv
Root	18	6	10	40	13	4	14	12	1	19	22
Root;Bacteria	419	122	248	668	420	329	413	1125	199	997	1291
Root;Bacteria;"Actinobacteria";Actinobacteria	5	0	8	8	15	2	6	11	7	17	24
Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae"	0	0	0	0	1	0	1	0	2	2	2
Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae	0	0	1	0	1	0	0	0	0	0	1
Root;Bacteria;"Actinobacteria";Actinobacteria;Acidimicrobidae;Acidimicrobiales;"Acidimicrobineae";Acidimicrobiaceae;Ilumatobacter	2	0	6	10	7	0	2	4	0	1	6
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae	1	0	0	0	0	2	2	5	0	0	3
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales	42	0	10	23	25	10	23	27	12	28	48
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae	5	0	0	2	3	0	4	0	0	5	5
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae	1	0	0	0	0	0	0	0	0	0	0
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae	12	4	2	4	3	3	5	0	0	5	4
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agrococcus	0	0	0	0	0	0	1	0	0	0	0
Root;Bacteria;"Actinobacteria";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microcella	0	0	0	0	0	0	0	0	0	2	0
Root;Bacteria;"Actinobacteria";Actinobacteria;Nitriliruptoridae	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Bacteroidetes"	15	13	34	73	14	10	33	64	12	73	131
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales"	3	0	0	2	1	3	11	5	6	7	9
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Cyclobacteriaceae"	2	0	0	0	0	1	2	0	0	1	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Cyclobacteriaceae";Algoriphagus	6	0	0	0	4	0	9	4	0	5	1
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Flammeovirgaceae"	2	0	0	0	0	0	0	0	2	5	3
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Flammeovirgaceae";Marinoscillum	0	0	0	2	0	0	0	0	0	0	3
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Flammeovirgaceae";Reichenbachiella	0	0	0	0	0	0	0	0	0	1	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Saprospiraceae"	0	0	0	0	2	0	0	0	0	0	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Saprospiraceae";Aureispira	0	0	0	0	0	0	0	2	0	0	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Chitinophagaceae	0	0	0	0	0	2	0	3	0	2	4
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Chitinophagaceae;Balneola	0	0	0	2	0	0	1	0	0	1	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Chitinophagaceae;Gracilimonas	0	0	0	0	0	0	0	0	0	1	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Chitinophagaceae;Sediminibacterium	0	0	0	0	2	0	0	2	0	0	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Cytophagaceae	0	0	0	0	0	0	1	1	0	2	0
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Sphingobacteriaceae	0	0	0	2	0	0	0	0	0	0	1
Root;Bacteria;"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";Sphingobacteriaceae;Pedobacter	0	0	0	0	0	0	0	0	0	0	5
Root;Bacteria;"Bacteroidetes";Flavobacteria;"Flavobacteriales"	2	8	14	55	7	7	9	13	6	32	73
Root;Bacteria;"Bacteroidetes";Flavobacteria;"Flavobacteriales";Cryomorphaceae	0	1	12	20	6	6	0	4	2	11	13
