cog_hit	cog_description	cog_class	cog_class_description	hist_mean_sum_0328	hist_mean_sum_0403	hist_mean_sum_0423	hist_mean_sum_0531	hist_mean_sum_0619	hist_mean_sum_0705	hist_mean_sum_0709	hist_mean_sum_1001	hist_mean_sum_1004	hist_mean_sum_1028	hist_mean_sum_1123
COG0001	Glutamate-1-semialdehyde aminotransferase	H	Coenzyme transport and metabolism 	1.5069336	6.8746188	0.0	13.0642321	20.2627118	5.0753869	5.1519421	25.8147794	16.7103396	9.8575201	59.2294564
COG0002	Acetylglutamate semialdehyde dehydrogenase	E	Amino acid transport and metabolism 	2.561639	18.2407337	3.0192258	27.9552487	24.9053672	13.7647121	3.5722025	33.7364846	9.959637	9.2607985	72.5706838
COG0004	Ammonia permease	P	Inorganic ion transport and metabolism 	5.735709	33.6895037	2.1981165	37.8160658	63.3766318	34.6000445	5.5726614	109.8880355	48.2643729	19.1838198	201.7305225
COG0005	Purine nucleoside phosphorylase	F	Nucleotide transport and metabolism 	1.7321936	8.8380985	0.8219248	10.8789486	3.7741706	4.4069092	0.6720214	18.7955742	8.9580395	7.3619948	24.3269944
COG0006	Xaa-Pro aminopeptidase	E	Amino acid transport and metabolism 	5.2582528	29.8840012	9.0186313	54.6054344	61.840029	21.4230597	7.6087043	84.5333994	26.5248904	19.8056502	168.577768
COG0007	Uroporphyrinogen-III methylase	H	Coenzyme transport and metabolism 	0.3246188	1.1093055	0.0	2.9542095	2.0954232	0.0	0.0	3.1585479	0.968652	0.273183	11.3952485
COG0008	Glutamyl- and glutaminyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis 	3.7254029	25.4801978	2.0215659	47.3653696	36.156274	15.9213919	5.7099794	45.0010609	25.2562262	13.8102891	91.1853971
COG0009	Putative translation factor (SUA5)	J	Translation, ribosomal structure and biogenesis 	6.744424	15.7114404	3.7253117	36.5794742	28.3698599	8.5880576	8.932886	37.6870335	14.7704089	13.4515824	75.6014488
COG0010	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	E	Amino acid transport and metabolism 	3.2865091	32.5123998	3.8038416	43.6468537	28.7102475	16.3276883	3.7450713	51.472714	17.2773655	9.3969343	127.0663164
COG0012	Predicted GTPase, probable translation factor	J	Translation, ribosomal structure and biogenesis 	3.5383214	19.4220633	4.3834733	35.3172636	44.6750035	31.5238561	12.6987329	58.37429	23.4238134	13.266897	105.0862415
COG0013	Alanyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis 	5.8433921	21.7791207	5.4388433	35.4092628	50.5606717	26.246299	8.8010566	62.308222	30.1297855	24.225032	148.8581764
COG0014	Gamma-glutamyl phosphate reductase	E	Amino acid transport and metabolism 	2.3314243	14.1595391	5.9738158	33.1617584	39.0720966	17.8978113	2.9688978	45.2767229	18.8407749	10.9634592	102.1233477
COG0015	Adenylosuccinate lyase	F	Nucleotide transport and metabolism 	6.5909266	19.3154003	2.4034912	25.1375646	28.7424554	8.2624094	2.5403833	25.4835863	14.7587536	4.5884978	70.7909374
